"County","Cases","Case Rate per 100,000 Population"
"Adams","0","0"
"Alexander","0","0"
"Bond","0","0"
"Boone","0","0"
"Brown","0","0"
"Bureau","1","Rate Suppressed"
"Calhoun","0","0"
"Carroll","0","0"
"Cass","0","0"
"Champaign","3","1.45"
"Chicago","154","5.62"
"Christian","0","0"
"Clark","0","0"
"Clay","0","0"
"Clinton","0","0"
"Coles","1","Rate Suppressed"
"Cook","75","2.97"
"Crawford","0","0"
"Cumberland","0","0"
"De Witt","0","0"
"DeKalb","2","1.98"
"Douglas","0","0"
"DuPage","42","4.5"
"Edgar","0","0"
"Edwards","1","Rate Suppressed"
"Effingham","0","0"
"Fayette","0","0"
"Ford","0","0"
"Franklin","0","0"
"Fulton","1","Rate Suppressed"
"Gallatin","0","0"
"Greene","0","0"
"Grundy","0","0"
"Hamilton","0","0"
"Hancock","0","0"
"Hardin","0","0"
"Henderson","0","0"
"Henry","0","0"
"Iroquois","0","0"
"Jackson","0","0"
"Jasper","0","0"
"Jefferson","0","0"
"Jersey","0","0"
"Jo Daviess","0","0"
"Johnson","0","0"
"Kane","13","2.51"
"Kankakee","2","1.85"
"Kendall","1","0.76"
"Knox","0","0"
"Lake","19","2.66"
"LaSalle","0","0"
"Lawrence","0","0"
"Lee","0","0"
"Livingston","0","0"
"Logan","0","0"
"Macon","1","0.96"
"Macoupin","0","0"
"Madison","2","0.75"
"Marion","0","0"
"Marshall","0","0"
"Mason","0","0"
"Massac","0","0"
"McDonough","0","0"
"McHenry","0","0"
"McLean","0","0"
"Menard","0","0"
"Mercer","0","0"
"Monroe","0","0"
"Montgomery","0","0"
"Morgan","0","0"
"Moultrie","0","0"
"Ogle","0","0"
"Peoria","2","1.1"
"Perry","0","0"
"Piatt","0","0"
"Pike","0","0"
"Pope","0","0"
"Pulaski","0","0"
"Putnam","0","0"
"Randolph","0","0"
"Richland","0","0"
"Rock Island","3","2.07"
"Saline","0","0"
"Sangamon","2","1.02"
"Schuyler","0","0"
"Scott","0","0"
"Shelby","0","0"
"St. Clair","3","1.16"
"Stark","0","0"
"Stephenson","0","0"
"Tazewell","0","0"
"Union","0","0"
"Vermilion","0","0"
"Wabash","0","0"
"Warren","0","0"
"Washington","0","0"
"Wayne","1","Rate Suppressed"
"White","0","0"
"Whiteside","1","Rate Suppressed"
"Will","15","2.15"
"Williamson","0","0"
"Winnebago","4","1.4"
"Woodford","0","0"
