County,County Value,Z-Score
"Illinois","8.7",
"Adams","8.6","-0.22"
"Alexander","9.2","1.02"
"Bond","8.7","-0.01"
"Boone","9.1","0.81"
"Brown","8.1","-1.25"
"Bureau","8.8","0.20"
"Calhoun","8.8","0.20"
"Carroll","8.6","-0.22"
"Cass","8.4","-0.63"
"Champaign","7.6","-2.28"
"Christian","8.7","-0.01"
"Clark","8.7","-0.01"
"Clay","8.7","-0.01"
"Clinton","9.1","0.81"
"Coles","8.7","-0.01"
"Cook","10.0","2.67"
"Crawford","8.9","0.40"
"Cumberland","8.7","-0.01"
"De Witt","8.4","-0.63"
"DeKalb","9.3","1.23"
"Douglas","8.5","-0.42"
"DuPage","7.8","-1.86"
"Edgar","8.6","-0.22"
"Edwards","8.8","0.20"
"Effingham","8.9","0.40"
"Fayette","8.8","0.20"
"Ford","8.4","-0.63"
"Franklin","9.1","0.81"
"Fulton","8.6","-0.22"
"Gallatin","8.7","-0.01"
"Greene","8.5","-0.42"
"Grundy","8.9","0.40"
"Hamilton","8.2","-1.04"
"Hancock","8.6","-0.22"
"Hardin","8.6","-0.22"
"Henderson","8.4","-0.63"
"Henry","8.9","0.40"
"Iroquois","8.5","-0.42"
"Jackson","9.3","1.23"
"Jasper","8.8","0.20"
"Jefferson","9.0","0.61"
"Jersey","8.4","-0.63"
"Jo Daviess","8.5","-0.42"
"Johnson","8.9","0.40"
"Kane","8.0","-1.45"
"Kankakee","8.9","0.40"
"Kendall","9.5","1.64"
"Knox","8.7","-0.01"
"Lake","9.9","2.46"
"LaSalle","9.1","0.81"
"Lawrence","8.9","0.40"
"Lee","9.0","0.61"
"Livingston","8.6","-0.22"
"Logan","8.5","-0.42"
"Macon","7.8","-1.86"
"Macoupin","9.0","0.61"
"Madison","9.9","2.46"
"Marion","9.0","0.61"
"Marshall","8.7","-0.01"
"Mason","8.5","-0.42"
"Massac","9.0","0.61"
"McDonough","8.4","-0.63"
"McHenry","9.6","1.84"
"McLean","7.9","-1.66"
"Menard","8.4","-0.63"
"Mercer","8.6","-0.22"
"Monroe","9.2","1.02"
"Montgomery","8.8","0.20"
"Morgan","8.5","-0.42"
"Moultrie","8.6","-0.22"
"Ogle","9.1","0.81"
"Peoria","7.6","-2.28"
"Perry","9.0","0.61"
"Piatt","8.4","-0.63"
"Pike","8.5","-0.42"
"Pope","8.8","0.20"
"Pulaski","8.9","0.40"
"Putnam","8.6","-0.22"
"Randolph","8.5","-0.42"
"Richland","8.8","0.20"
"Rock Island","7.1","-3.31"
"Saline","8.9","0.40"
"Sangamon","7.7","-2.07"
"Schuyler","8.2","-1.04"
"Scott","8.3","-0.83"
"Shelby","8.7","-0.01"
"St. Clair","10.0","2.67"
"Stark","8.5","-0.42"
"Stephenson","8.8","0.20"
"Tazewell","9.1","0.81"
"Union","9.0","0.61"
"Vermilion","8.7","-0.01"
"Wabash","9.0","0.61"
"Warren","8.5","-0.42"
"Washington","8.9","0.40"
"Wayne","8.8","0.20"
"White","8.9","0.40"
"Whiteside","8.9","0.40"
"Will","8.0","-1.45"
"Williamson","9.2","1.02"
"Winnebago","7.8","-1.86"
"Woodford","8.9","0.40"
