County,Average PM10
ADAMS,1.3253005316621541e-05
ALEXANDER,0.0
BOND,1.3130617419501386e-05
BOONE,0.0
BROWN,1.3595536185798858e-05
BUREAU,1.5475759193286135e-05
CALHOUN,1.2678920326389551e-05
CARROLL,1.5146135335118792e-05
CASS,1.3927963898781204e-05
CHAMPAIGN,1.4619950824333952e-05
CHRISTIAN,1.3494686913958702e-05
CLARK,0.0
CLAY,0.0
CLINTON,1.2880233582746451e-05
COLES,1.4171168115195225e-05
COOK,1.5827903000505804e-05
CRAWFORD,0.0
CUMBERLAND,0.0
DEKALB,1.570433464376258e-05
DEWITT,0.0
DOUGLAS,0.0
DUPAGE,0.0
EDGAR,0.0
EDWARDS,1.3422430982960088e-05
EFFINGHAM,1.3410760075345154e-05
FAYETTE,0.0
FORD,1.4996613653928658e-05
FRANKLIN,1.270235077337235e-05
FULTON,1.4574641719846235e-05
GALLATIN,0.0
GREENE,0.0
GRUNDY,0.0
HAMILTON,0.0
HANCOCK,1.3946101007528577e-05
HARDIN,1.240353322899359e-05
HENDERSON,0.0
HENRY,1.5147715559177269e-05
IROQUOIS,0.0
JACKSON,0.0
JASPER,1.386996002388586e-05
JEFFERSON,0.0
JERSEY,0.0
JO DAVIESS,1.4906638181449144e-05
JOHNSON,1.2375286117033607e-05
KANE,0.0
KANKAKEE,1.546765145507118e-05
KENDALL,0.0
KNOX,1.4942762108419126e-05
LAKE,0.0
LASALLE,1.565242170084031e-05
LAWRENCE,0.0
LEE,0.0
LIVINGSTON,1.5405403714563196e-05
LOGAN,1.4171846873832478e-05
MACON,1.4384844494704103e-05
MACOUPIN,1.3111527154918937e-05
MADISON,0.0
MARION,1.3056209834238831e-05
MARSHALL,1.5343941293609927e-05
MASON,0.0
MASSAC,0.0
MCDONOUGH,1.422183835856019e-05
MCHENRY,0.0
MCLEAN,1.4842676530084276e-05
MENARD,0.0
MERCER,0.0
MONROE,0.0
MONTGOMERY,0.0
MORGAN,0.0
MOULTRIE,0.0
OGLE,1.5439704320454046e-05
PEORIA,0.0
PERRY,1.2647140520308459e-05
PIATT,0.0
PIKE,1.2986511739832956e-05
POPE,0.0
PULASKI,0.0
PUTNAM,0.0
RANDOLPH,1.2464058069542252e-05
RICHLAND,0.0
ROCK ISLAND,0.0
SALINE,0.0
SANGAMON,0.0
SCHUYLER,0.0
SCOTT,0.0
SHELBY,1.3780187988739667e-05
ST. CLAIR,1.2746948102607772e-05
STARK,0.0
STEPHENSON,0.0
TAZEWELL,1.4841302015533297e-05
UNION,1.2466571837682418e-05
VERMILION,0.0
WABASH,0.0
WARREN,1.4672452737863486e-05
WASHINGTON,0.0
WAYNE,0.0
WHITE,1.284723195168958e-05
WHITESIDE,0.0
WILL,1.5724612218700117e-05
WILLIAMSON,0.0
WINNEBAGO,1.554641117966039e-05
WOODFORD,0.0
